CUSTOMER_ID,GENDER,AGE,ANNUAL_INCOME,SPENDING_SCORE,PROFESSION,WORK_EXPERIENCE,FAMILY_SIZE,SOURCE_EXTRACTION_TS,SOURCE
75,Male,59,89000,47,Artist,0,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
76,Male,26,49000,54,Homemaker,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
77,Female,45,67000,53,Doctor,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
78,Male,40,99000,48,Artist,4,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
79,Female,23,97000,52,Engineer,2,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
80,Female,49,98000,42,,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
81,Male,57,52000,51,Healthcare,0,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
82,Male,38,61000,55,Healthcare,6,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
83,Male,67,120000,41,Artist,8,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
84,Female,46,34000,44,Entertainment,8,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
85,Female,21,24000,57,Marketing,1,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
86,Male,48,31000,46,Healthcare,7,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
87,Female,55,11000,58,Artist,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
88,Female,22,55000,55,Artist,5,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
89,Female,34,76000,60,Entertainment,7,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
90,Female,50,56000,46,Doctor,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
91,Female,68,46000,55,Entertainment,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
92,Male,18,36000,41,Artist,1,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
93,Male,48,88000,49,Artist,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
94,Female,40,31000,40,Entertainment,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
95,Female,32,24000,42,Artist,0,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
96,Male,24,80000,52,Artist,10,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
97,Female,47,2000,47,Artist,0,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
98,Female,27,67000,50,Artist,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
99,Male,48,58000,42,Doctor,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
100,Male,20,80000,49,Engineer,3,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
101,Female,23,65000,41,Artist,0,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
102,Female,49,4000,48,Executive,1,7,2025-08-29 10:35:14.635,CRM_CUSTOMER
103,Male,67,98000,59,Artist,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
104,Male,26,52000,55,Executive,0,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
105,Male,49,86000,56,Healthcare,10,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
106,Female,21,82000,42,Doctor,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
107,Female,66,43000,50,Homemaker,3,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
108,Male,54,78000,46,Lawyer,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
109,Male,68,13000,43,Healthcare,6,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
110,Male,66,13000,48,Healthcare,9,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
111,Male,65,34000,52,Entertainment,4,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
112,Female,19,25000,54,Artist,0,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
113,Female,38,71000,42,Doctor,1,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
114,Male,19,2000,46,Artist,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
115,Female,18,97000,48,Executive,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
116,Female,19,51000,50,Executive,8,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
117,Female,63,9000,43,Lawyer,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
118,Female,49,79000,59,Artist,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
119,Female,51,84000,43,,2,7,2025-08-29 10:35:14.635,CRM_CUSTOMER
120,Female,50,87000,57,Artist,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
121,Male,27,36000,56,Executive,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
122,Female,38,50000,40,Executive,1,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
123,Female,40,97000,58,Engineer,9,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
124,Male,39,6000,91,Healthcare,1,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
125,Female,23,12000,29,Entertainment,9,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
126,Female,31,46000,77,Marketing,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
127,Male,43,89000,35,Engineer,0,7,2025-08-29 10:35:14.635,CRM_CUSTOMER
128,Male,40,4000,95,Artist,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
129,Male,59,38000,11,Engineer,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
130,Male,38,64000,75,Entertainment,8,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
131,Male,47,66000,9,Executive,9,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
132,Male,39,26000,75,Lawyer,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
133,Female,25,41000,34,Healthcare,6,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
134,Female,31,45000,71,Artist,5,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
135,Male,20,89000,5,Engineer,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
136,Female,29,92000,88,Executive,5,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
137,Female,44,76000,7,Artist,5,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
138,Male,32,85000,73,Artist,3,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
139,Male,19,22000,10,Marketing,8,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
140,Female,35,15000,72,Artist,4,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
141,Female,57,32000,5,Engineer,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
142,Male,32,66000,93,Artist,0,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
143,Female,28,62000,40,Doctor,5,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
144,Female,32,85000,87,Lawyer,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
145,Male,25,71000,12,Engineer,0,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
146,Male,28,26000,97,Marketing,8,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
147,Male,48,52000,36,Engineer,9,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
148,Female,32,38000,74,Lawyer,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
149,Female,34,51000,22,Healthcare,7,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
150,Male,34,90000,90,Artist,6,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
151,Male,43,30000,17,Lawyer,0,9,2025-08-29 10:35:14.635,CRM_CUSTOMER
152,Male,39,41000,88,Engineer,0,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
153,Female,44,17000,20,Engineer,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
154,Female,38,92000,76,Artist,2,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
155,Female,47,80000,16,Healthcare,0,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
156,Female,27,10000,89,Marketing,8,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
157,Male,37,16000,1,Executive,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
158,Female,30,87000,78,Artist,3,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
159,Male,34,66000,1,Lawyer,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
160,Female,30,86000,73,Artist,3,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
161,Female,56,9000,35,Artist,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
162,Female,29,50000,83,Healthcare,1,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
163,Male,19,35000,5,Executive,0,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
164,Female,31,58000,93,Healthcare,1,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
165,Male,50,47000,26,Doctor,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
166,Female,36,54000,75,Artist,5,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
167,Male,42,79000,20,Homemaker,9,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
168,Female,33,83000,95,Artist,0,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
169,Female,36,57000,27,Artist,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
170,Male,32,0,63,Artist,2,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
171,Male,40,69000,13,Artist,3,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
172,Male,28,4000,75,Executive,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
173,Male,36,79000,10,Lawyer,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
174,Male,36,99000,92,Artist,5,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
175,Female,52,20000,13,Lawyer,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
176,Female,30,28000,86,Artist,3,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
177,Male,58,29000,15,Engineer,11,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
178,Male,27,45000,69,Healthcare,2,6,2025-08-29 10:35:14.635,CRM_CUSTOMER
179,Male,59,86000,14,Healthcare,4,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
180,Male,35,42000,90,Engineer,8,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
181,Female,37,59000,32,Artist,7,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
182,Female,32,61000,86,Entertainment,7,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
183,Male,46,11000,15,Artist,7,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
184,Female,29,66000,88,Artist,4,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
185,Female,41,39000,39,Artist,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
186,Male,30,72000,97,Artist,6,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
187,Female,54,14000,24,Lawyer,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
188,Male,28,44000,68,Doctor,5,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
189,Female,41,76000,17,Engineer,8,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
190,Female,36,95000,85,Artist,4,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
191,Female,34,92000,23,Artist,5,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
192,Female,32,98000,69,Artist,8,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
193,Male,33,96000,8,Executive,9,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
194,Female,38,45000,91,Artist,10,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
195,Female,47,8000,16,Artist,7,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
196,Female,35,46000,79,Executive,1,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
197,Female,45,78000,28,Artist,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
198,Male,32,4000,74,Artist,1,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
199,Male,32,81000,18,Executive,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
200,Male,30,33000,83,Artist,4,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
201,Female,21,40000,10,Healthcare,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
202,Male,34,85000,16,Healthcare,9,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
203,Female,16,60000,0,Engineer,6,8,2025-08-29 10:35:14.635,CRM_CUSTOMER
204,Female,76,60000,39,Healthcare,4,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
205,Female,62,63000,59,Entertainment,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
206,Female,63,10000,52,Healthcare,8,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
207,Female,19,55000,61,Healthcare,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
208,Male,46,93000,12,Artist,2,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
209,Female,48,15000,7,Doctor,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
210,Female,80,39000,33,Engineer,9,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
211,Female,1,57000,93,Engineer,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
212,Female,0,22000,92,Artist,2,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
213,Male,86,12000,70,Marketing,2,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
214,Male,49,50000,82,Lawyer,8,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
215,Male,48,95000,68,Doctor,2,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
216,Female,46,66000,70,Healthcare,3,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
217,Male,79,20000,40,Doctor,6,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
218,Female,83,35000,99,Doctor,8,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
219,Female,66,71000,34,Executive,9,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
220,Female,59,76000,61,,9,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
221,Female,39,84000,33,Artist,5,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
222,Female,95,72000,51,Engineer,4,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
223,Male,43,33000,55,Artist,4,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
224,Female,93,93000,37,Healthcare,1,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
225,Female,40,83000,48,Homemaker,4,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
226,Female,78,23000,8,Engineer,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
227,Female,25,40000,77,Artist,5,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
228,Male,76,89000,86,Healthcare,9,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
229,Male,0,33000,64,Marketing,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
230,Male,15,94000,30,Healthcare,7,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
231,Female,6,93000,53,Lawyer,8,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
232,Male,84,7000,28,Healthcare,0,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
233,Female,67,18000,88,Lawyer,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
234,Female,78,3000,14,Healthcare,0,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
235,Female,4,84000,54,Artist,9,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
236,Female,29,62000,34,Healthcare,0,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
237,Male,91,9000,96,Healthcare,1,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
238,Male,95,36000,35,,0,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
239,Male,55,37000,74,Lawyer,1,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
240,Female,14,50000,11,Artist,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
241,Male,92,83000,16,Executive,1,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
242,Female,65,79000,17,Artist,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
243,Female,84,40000,14,Healthcare,1,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
244,Female,77,47000,58,Artist,0,6,2025-08-29 10:35:14.635,CRM_CUSTOMER
245,Female,53,4000,20,Artist,0,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
246,Female,28,38000,75,Entertainment,7,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
247,Male,23,0,96,Doctor,1,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
248,Female,32,7000,16,Artist,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
249,Female,37,41000,2,Artist,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
250,Female,89,65000,0,Engineer,0,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
251,Male,80,20000,93,Engineer,1,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
252,Female,27,44000,65,Doctor,8,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
253,Female,78,3000,14,Artist,5,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
254,Female,86,72000,13,Lawyer,7,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
255,Female,46,27000,32,Engineer,4,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
256,Male,59,85000,49,Lawyer,4,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
257,Male,12,38000,18,Executive,10,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
258,Male,79,73000,96,Homemaker,6,7,2025-08-29 10:35:14.635,CRM_CUSTOMER
259,Female,79,64000,64,Artist,2,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
260,Male,26,26000,60,Executive,6,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
261,Female,63,47000,16,Artist,2,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
262,Female,52,35000,85,Doctor,2,6,2025-08-29 10:35:14.635,CRM_CUSTOMER
263,Female,32,31000,24,Lawyer,2,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
264,Female,64,13000,38,Engineer,3,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
265,Female,37,79000,10,Homemaker,1,7,2025-08-29 10:35:14.635,CRM_CUSTOMER
266,Male,7,82000,39,Entertainment,2,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
267,Female,40,28000,68,Artist,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
268,Female,78,36000,79,Artist,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
269,Female,34,8000,76,Entertainment,6,6,2025-08-29 10:35:14.635,CRM_CUSTOMER
270,Female,52,88000,39,Artist,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
271,Male,94,91000,36,Entertainment,0,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
272,Female,1,12000,82,Doctor,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
273,Female,96,1000,76,Entertainment,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
274,Female,18,143000,99,Artist,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
275,Female,37,18000,57,Artist,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
276,Male,78,65000,89,Lawyer,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
277,Male,16,9000,88,Executive,7,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
278,Male,93,95000,21,Artist,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
279,Female,74,78000,12,Engineer,9,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
280,Male,68,48000,73,Healthcare,3,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
281,Female,32,63000,87,Executive,1,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
282,Female,43,85000,63,Marketing,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
283,Female,52,43000,58,Artist,1,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
284,Female,63,74000,20,Artist,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
285,Female,33,67000,11,Healthcare,0,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
286,Male,86,59000,40,Artist,0,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
287,Female,85,140000,84,Entertainment,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
288,Female,73,31000,47,Healthcare,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
